Name,Year
Mega Man Battle Network: Operation Shooting Star,2009
Smashing Drive,2002
Dream Trigger 3D,2011
Tornado,2008
McFarlane's Evil Prophecy,2004
Drake of the 99 Dragons,2003
Port Royale 3,2012
Alex Rider: Stormbreaker,2006
Yoostar on MTV,2011
Rayman Arena,2002
National Geographic Challenge!,2011
Jewel Link Chronicles: Mountains of Madness,2012
Chou Soujuu Mecha MG,2006
Prinny: Can I Really Be The Hero?,2008
Combat Elite: WWII Paratroopers,2005
Captain America: Super Soldier,2011
Flip's Twisted World,2010
Mobile Ops: The One Year War,2008
Tom Clancy's Rainbow Six: Critical Hour,2006
GRID,2008
Reader Rabbit 2nd Grade,2000
Mountain Bike Adrenaline,2007
Tour de France 2011,2011
Drill Dozer,2005
Battle vs. Chess,2010
The History Channel: Great Battles - Medieval,2010
Monster Hunter Frontier Online,2007
RollerCoaster Tycoon,1999
B.L.U.E.: Legend of Water,1998
Luxor: Pharaoh's Challenge,2007
NHL Hitz Pro,2003
Sega Rally 2006,2006
World of Tanks,2010
Swords,2010
Half-Minute Hero 2,2011
Clockwork Empires,2014
Housekeeping,2014
Major League Baseball 2K8,2008
Sabre Wulf,2004
Beyond the Labyrinth,2012
Bikkuriman Daijiten,1998
Silverlicious,2012
Majesty 2: The Fantasy Kingdom Sim,2009
Fullmetal Alchemist: Brotherhood,2010
Samurai Spirits: Tenkaichi Kenkakuden,2006
Tom and Jerry in War of the Whiskers,2002
Super Duper Sumos,2003
UK Truck Simulator,2010
Legacy of Ys: Books I & II,2009
The King of Fighters: Maximum Impact - Maniax,2005
Combat Wings: The Great Battles of WWII,2012
Tube Slider,2003
Umineko no Naku Koro ni San: Shinjitsu to Gensou no Yasoukyoku,2011
Wii de Asobu: Metroid Prime,2009
Payout Poker & Casino,2005
Xia-Xia,2011
Saint,2005
Steal Princess,2008
Mario Tennis,2000
Runaway: A Twist of Fate,2009
Nicktoons Collection: Game Boy Advance Video Volume 1,2004
Demolition Company: Gold Edition,2011
Yu-Gi-Oh! 5D's Wheelie Breakers (JP sales),2009
Cabela's Alaskan Adventure,2006
Writing and Speaking Beautiful Japanese DS,2009
Virtua Quest,2004
Shonen Jump's Yu-Gi-Oh! GX Card Almanac,2006
Without Warning,2005
Football Manager 2007,2006
Ferrari: The Race Experience,2010
PDC World Championship Darts 2008,2007
Dinotopia: The Sunstone Odyssey,2002
Dance! It's Your Stage,2010
Jet Impulse,2007
Dream Dancer,2007
Aquaman: Battle for Atlantis,2003
Homeworld Remastered Collection,2015
Shorts,2009
AKB1/48: Idol to Guam de Koishitara,2011
Super Robot Monkey Team: Game Boy Advance Video Volume 1,2004
Brothers in Arms: Furious 4,2012
Agarest Senki: Re-appearance,2010
Freaky Flyers,2003
Inversion,2012
Hakuouki: Shinsengumi Kitan,2008
Dance with Devils,2015
Virtua Quest,2004
The Smurfs,2011
Legends of Oz: Dorothy's Return,2014
Driving Simulator 2011,2010
Bound By Flame,2014
wwe Smackdown vs. Raw 2006,2005
MLB SlugFest 20-03,2002
Luminous Arc 2 (JP sales),2008
Action Man-Operation Extreme,2000
Super Puzzle Fighter II,1996
Build-A-Bear Workshop: Friendship Valley,2010
Prinny: Can I Really Be The Hero? (US sales),2008
